NAME,MASS,PER
,mjupiter,day
CoRoT-6 b,2.95364,8.886593
Kepler-127 c,0.0216742,29.393195
Kepler-839 b,0.020474,37.8144514
Kepler-203 c,0.019315,5.370647
Kepler-1234 b,0.0238504,11.94014029
Kepler-1127 b,0.0144664,5.12330347
Kepler-732 c,0.00668223,0.89304124
HD 73267 b,3.06257,1260
HD 147513 b,1.17965,528.40002
Kepler-1528 b,0.0107116,1.79111021
Kepler-893 b,0.027323,6.33855761
Kepler-1387 b,0.00225358,2.27952666
Kepler-1062 b,0.0129801,9.30412078
HD 72659 b,3.1741,3658
BD +14 4559 b,1.51929,268.94
HD 1605 b,0.96903,577.9
Kepler-79 b,0.0343,13.485
Kepler-202 b,0.0121124,4.069427
Kepler-709 b,0.0256089,16.08524954
HD 197037 b,0.807324,1035.7
HD 70642 b,1.90944,2068
KELT-2 A b,1.52064,4.1137912
Kepler-10 b,0.0142824,0.837495
Kepler-208 e,0.0112762,16.259458
Kepler-1365 b,0.00215846,7.69993485
Kepler-270 c,0.0130508,25.262887
Kepler-966 b,0.0557908,99.747622
Kepler-1010 b,0.0176872,34.2685705
Kepler-811 b,0.0222358,23.58447697
Kepler-225 c,0.0135483,18.794234
Kepler-1305 b,0.0138656,13.5630972
Kepler-150 d,0.0235009,12.56093
Kepler-1322 b,0.0120099,0.96286738
Kepler-405 b,0.015437,10.613839
Kepler-208 b,0.0121124,4.22864
M 67 YBP 1194 b,0.346328,6.958
Kepler-1084 b,0.00422224,2.05333679
Kepler-616 b,0.0188877,9.99761851
Kepler-325 d,0.0235009,38.715185
Kepler-1065 c,0.0119381,2.37030743
Kepler-1464 c,0.00289089,5.32786292
Kepler-340 c,0.0341953,22.824669
Kepler-682 b,0.164047,12.61190667
Kepler-507 b,0.00730709,3.56809693
HD 40307 c,0.0211468,9.62
HD 142 b,1.3057,350.3
Kepler-257 b,0.0210192,2.382667
Kepler-976 b,0.0503054,105.9564148
WASP-10 b,3.19144,3.0927616
Kepler-982 b,0.0170154,15.7738221
GJ 328 b,2.3,4100
WASP-17 b,0.508547,3.735433
HAT-P-17 b,0.530158,10.338523
Kepler-162 b,0.00656354,6.919798
Kepler-487 c,0.0219292,38.6519976
HD 67087 b,3.09805,352.2
Kepler-293 c,0.0463015,54.155743
HD 102329 b,4.47808,778.1
Kepler-872 b,0.0147338,2.57885507
Kepler-1542 d,0.0018073,5.99273738
HD 159868 b,2.20004,1178.4
K2-21 b,0.011856,9.32414
Kepler-424 b,0.770225,3.3118644
Kepler-262 c,0.0121773,21.853722
WASP-117 b,0.2755,10.02165
WASP-75 b,1.07,2.484193
Kepler-1293 b,0.00266535,5.57654784
Kepler-222 b,0.0297967,3.936981
Kepler-334 b,0.00436179,5.470319
HD 114783 b,1.10505,493.7
GJ 581 e,0.00613456,3.14945
Kepler-1638 b,0.0137822,259.33683
Kepler-605 b,0.0101747,3.38353807
Kepler-327 c,0.00324127,5.212333
Kepler-793 b,0.00866602,4.24153639
Kepler-1555 b,0.0120099,8.10501635
Kepler-419 b,2.5,69.7546
epsilon Ret b,1.37669,428.1
GJ 674 b,0.034879,4.6938
Kepler-511 b,0.108498,296.637865
Kepler-1361 b,0.00172655,3.57554956
HD 7924 c,0.0248402,15.299
Kepler-57 c,0.0115953,11.6092567
HD 168443 c,17.3857,1749.83
Kepler-172 c,0.0245625,6.388996
Kepler-1350 b,0.0199266,4.4968604
WASP-70 A b,0.590076,3.7130203
Kepler-933 b,0.0191406,14.20443009
Kepler-1406 b,0.00407386,11.62905828
Kepler-1530 b,0.0121546,2.5904434
Kepler-400 c,0.0115291,17.340824
Kepler-220 e,0.00789025,45.902733
Kepler-1111 b,0.0147338,8.79617863
WASP-57 b,0.675887,2.838971
HAT-P-37 b,1.17362,2.79736
Kepler-198 c,0.019315,49.567416
Kepler-1166 b,0.0125233,33.2406882
Kepler-458 c,0.057999,20.74028413
Kepler-1605 b,0.00378747,85.7565495
Kepler-1222 b,0.00123338,1.91694425
Kepler-1635 b,0.0409391,469.63111
Kepler-615 b,0.0128259,10.35584657
Kepler-249 b,0.00396389,3.306539
WASP-106 b,1.925,9.289715
HD 81040 b,6.87654,1001.7
HD 208527 b,10.014,875.5
Kepler-165 b,0.0176845,8.180848
Kepler-28 b,0.0397121,5.91213
Kepler-118 c,0.184717,20.17202
Kepler-1216 b,0.00915206,4.37034536
HAT-P-32 b,0.861516,2.150008
GJ 163 c,0.0215524,25.63058
HD 95089 b,1.12925,507
XO-3 b,13.2849,3.1915426
Kepler-1380 b,0.0101747,10.3108245
Kepler-478 b,0.0223911,13.2217576
HD 114729 b,0.944758,1114
Kepler-122 e,0.0208911,37.993273
Kepler-634 b,0.0139495,5.16950177
Kepler-881 b,0.0131362,4.44448017
Kepler-103 c,0.0877632,179.612
Kepler-997 b,0.00842926,2.70730672
Kepler-1503 b,0.0172355,96.16987
HD 100655 b,1.33352,157.57
Kepler-400 b,0.0122424,9.024389
Kepler-106 c,0.0328478,13.5708
Kepler-113 b,0.013404,4.754
Kepler-1178 b,0.00364938,31.80634
Kepler-595 b,0.0457295,25.30292332
HD 142415 b,1.66194,386.29999
Kepler-1359 b,0.0240196,59.4970952
Kepler-785 b,1,1.97376093
CoRoT-9 b,0.843564,95.2738
HD 114386 b,1.3637,937.70001
HD 103197 b,0.0982431,47.84
Kepler-698 b,0.0418568,16.32976218
Kepler-1022 b,0.0181548,10.99469878
7 CMa b,2.43233,763
K2-3 b,0.0163773,10.05403
Kepler-368 b,0.0318107,26.84768
Kepler-913 b,0.015288,10.29672521
